2025-08-05 18:11:50,831 INFO    MainThread:35652 [wandb_setup.py:_flush():80] Current SDK version is 0.21.0
2025-08-05 18:11:50,832 INFO    MainThread:35652 [wandb_setup.py:_flush():80] Configure stats pid to 35652
2025-08-05 18:11:50,832 INFO    MainThread:35652 [wandb_setup.py:_flush():80] Loading settings from C:\Users\prash\.config\wandb\settings
2025-08-05 18:11:50,832 INFO    MainThread:35652 [wandb_setup.py:_flush():80] Loading settings from C:\Users\prash\Downloads\ayna-ml-assignment\wandb\settings
2025-08-05 18:11:50,832 INFO    MainThread:35652 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-08-05 18:11:50,832 INFO    MainThread:35652 [wandb_init.py:setup_run_log_directory():703] Logging user logs to C:\Users\prash\Downloads\ayna-ml-assignment\wandb\run-20250805_181150-pmr8ga91\logs\debug.log
2025-08-05 18:11:50,832 INFO    MainThread:35652 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to C:\Users\prash\Downloads\ayna-ml-assignment\wandb\run-20250805_181150-pmr8ga91\logs\debug-internal.log
2025-08-05 18:11:50,832 INFO    MainThread:35652 [wandb_init.py:init():830] calling init triggers
2025-08-05 18:11:50,832 INFO    MainThread:35652 [wandb_init.py:init():835] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-08-05 18:11:50,832 INFO    MainThread:35652 [wandb_init.py:init():871] starting backend
2025-08-05 18:11:51,058 INFO    MainThread:35652 [wandb_init.py:init():874] sending inform_init request
2025-08-05 18:11:51,078 INFO    MainThread:35652 [wandb_init.py:init():882] backend started and connected
2025-08-05 18:11:51,079 INFO    MainThread:35652 [wandb_init.py:init():953] updated telemetry
2025-08-05 18:11:51,080 INFO    MainThread:35652 [wandb_init.py:init():977] communicating run to backend with 90.0 second timeout
2025-08-05 18:11:52,227 INFO    MainThread:35652 [wandb_init.py:init():1029] starting run threads in backend
2025-08-05 18:11:54,518 INFO    MainThread:35652 [wandb_run.py:_console_start():2458] atexit reg
2025-08-05 18:11:54,518 INFO    MainThread:35652 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-08-05 18:11:54,518 INFO    MainThread:35652 [wandb_run.py:_redirect():2375] Wrapping output streams.
2025-08-05 18:11:54,518 INFO    MainThread:35652 [wandb_run.py:_redirect():2398] Redirects installed.
2025-08-05 18:11:54,521 INFO    MainThread:35652 [wandb_init.py:init():1075] run started, returning control to user process
2025-08-05 18:11:54,876 INFO    MainThread:35652 [wandb_watch.py:_watch():70] Watching
2025-08-05 18:11:54,876 INFO    MainThread:35652 [wandb_run.py:_config_callback():1363] config_cb None None {'learning_rate': 0.0002, 'epochs': 200, 'batch_size': 4, 'loss_function': 'Balanced Weighted L1Loss', 'scheduler': 'StepLR'}
2025-08-05 18:18:24,757 INFO    MsgRouterThr:35652 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 2 handles.
